Table XIV-XVI. Volumes of various periventricular structures (mm3),,,,,,,
,,,,,,,
Code_number,Species,Number_of_individuals,Nucleus_septalis_triangularis,Corpus_subfornicale,Nucleus_habenularis_medialis,Corpus_pineal,Corpus_subcommissurale
,,,40,41,42,43,44
Table XIV. Insectivores,,,,,,,
0001,Solenodon paradoxus,1,0.87,0.083,2.08,1.27,0.0435
0002,Tenrec ecaudatus,1,0.704,0.124,0.988,0.48,0.0112
0003,Setifer setosus,1,0.329,0.06,0.426,0.445,0.0031
0004,Hemicentetes semispin.,1,0.338,0.032,0.425,0.181,0.00382
0005,Echinops telfairi,1,0.338,0.029,0.365,0.243,0.000212
0006,Oryzorictes talpoides,1,0.331,0.018,0.257,0.051,0.000694
0007,Microgale cowani,1,0.216,0.0116,0.147,0.0152,0.00129
0008,Limnogale mergulus,1,0.602,0.0194,0.469,0.122,0.00202
0009,Nesogale dobsoni,1,0.28,0.0076,0.242,0.0356,0.00095
0010,Nesogale talazaci,1,0.378,0.0191,0.381,0.0894,0.00147
0015,Potamogale velox,1,1.1,0.089,1.45,0.00309,0.00174
0016,Chlorotalpa stuhlmanni,6,0.395,0.0191,0.38,0.096,0
0017,Chrvsochloris asiatica,1,0.485,0.0147,0.449,0.0251,0.00811
0021,Aethechinus algirus,1,1.18,0.0621,0.93,0.297,0.0222
0022,Erinaceus europaeus,2,0.887,0.0592,1.17,0.423,0.0312
0031,Elephantulus fuseipes,6,0.289,0.0709,0.415,0.336,0.124
0033,Rhynchocyon stuhlmanni,1,0.937,0.0576,2.09,1.41,0.403
0041,Sorex minutus,1,0.07,0.00284,0.0586,0.00359,0.000265
0042,Sorex araneus,10,0.115,0.00326,0.0749,0.0102,0.00012
0043,Neomys fodiens,1,0.263,0.0069,0.205,0.027,0.000418
0059,Crocidura occidentalis,1,0.274,0.0186,0.2,0.0391,0.000576
0060,Crocidura russula,5,0.12,0.00986,0.134,0.0278,0.000766
0063,Suncus murinus,1,0.201,0.0148,0.168,0.0628,0.00223
0081,Talpa europaea,5,0.33,0.00857,0.366,0.0497,0.0102
0083,Desmana moschata,1,1.06,0.0352,1.05,0.459,0.0278
0084,Galemys pyrenaieus,5,0.444,0.0379,0.422,0.0707,0.00545
Table XV. Prosimians,,,,,,,
0102,Tupaia glis,6,0.454,0.0608,0.947,0.393,0.0804
0106,Urogale everetti,2,0.66,0.136,0.926,1.42,0.0572
0111,Cheirogaleus major,1,0.917,0.256,1.75,0.789,0.032
0112,Cheirogaleus medius,1,0.385,0.171,1.06,0.691,0.0432
0114,Microcebus murinus,1,0.274,0.0556,0.461,0.14,0.0233
0117,Lepilemur ruficaudatus,1,0.888,0.121,1.75,0.731,0.132
0118,Lemur fulvus,4,1.4,0.527,4.02,1.85,0.174
0124,Lemur variegatus,1,3.51,0.741,5.35,4.46,0.197
0130,Avahi l. laniger,1,1.29,0.116,2.21,0.7,0.14
0131,Avahi l. occidentalis,1,0.988,0.188,2.04,0.652,0.0942
0132,Propithecus verreauxi,1,1.6,0.507,3.65,3.26,0.357
0133,Indri indri,1,4.96,0.553,7.15,5.63,0.366
0136,Daubentonia madagasc.,1,2.65,0.593,7.75,3.32,1.83
0137,Loris tardigradus,1,0.822,0.207,1.15,0.335,0.103
0138,Nycticebus coucang,1,1.34,0.175,2.04,1.83,0.154
0139,Perodicticus potto,5,2.27,0.216,3.77,1.76,0.264
0141,Galago crassicaudatus,1,0.695,0.0948,1.64,1.02,0.102
0142,Galago demidovii,2,0.45,0.024,0.78,0.375,0.0266
0143,Galago senegalensis,1,0.588,0.0668,0.998,0.741,0.0382
0147,Tarsius sp.,3,0.405,0.0482,1.13,2.03,0.114
Table XVI. Simians,,,,,,,
0151,Callithrix jacchus,1,0.44,0.133,1.63,0.486,0.0789
0164,Saguinus oedipus,1,1.08,0.167,1.55,0.392,0.0921
0165,Saguinus tamarin,1,0.559,0.0795,1.18,0.216,0.0994
0171,Aotus trivirgatus,1,0.964,0.162,3.21,1.55,0.14
0172,Callicebus moloch,1,0.89,0.135,2.66,2.9,0.154
0174,Pithecia monacha,1,1.31,0.3,2.53,0.0623,0.189
0179,Alouatta sp.,1,1.72,0.372,3.3,0.254,0.402
0184,Ateles geoffroyi,2,3.18,0.443,7.29,3.1,0.608
0186,Lagothrix lagotricha,2,2.6,0.583,7.01,10.6,0.885
0191,Cebus sp.,2,1.5,0.41,4.9,3.8,0.425
0192,Saimiri sciureus,5,0.598,0.255,2.77,2.71,0.143
0202,Macaca mulatta,1,2.83,0.36,7.66,12.4,0.27
0209,Cercocebus albigena,1,1.69,0.658,6,11.9,0.233
0212,Papio anubis,1,1.86,0.405,12.7,51.1,0.347
0227,Cercopithecus mitis,1,1.96,0.432,5.38,15.3,0.258
0231,Cercopithecus ascan.,1,2.13,0.509,4.23,4.66,0.217
0232,Cercopithecus talap.,3,0.866,0.192,2.07,2.03,0.22
0246,Colobus badius,1,2.26,0.454,4.54,7.31,0.265
0277,Pan troglodytes,3,2.7,0.606,9.4,38,0.387
0279,Gorilla gorilla,2,5.79,1.3,23.9,7.96,1.41
0280,Homo sapiens sapiens,1,0.524,0.508,17,142,0.0203
