"Table IV,V,VI: Volumes of the telencephalon and of its components (mm3)",,,,,,,,,,,
Code_number,Species,Number_of_individuals,Telencephalon,Bulbus_olfactorius,Bulbus_olfactorius_accessorius,Lobus_piriformis,Septum,Striatum,Schizo_cortex,Hippocampus,Neocortex
,,,10_(=11-18),11,12,13,14,15,16,17,18
,,,,,,,,,,,
Table IV. Insectivores,,,,,,,,,,,
0001,Solenodon paradoxus,2,"2,486",465,0.218,689,65.4,255,156,296,661
0002,Tenrec ecaudatus,3,"1,407",314,0.715,464,36.9,98.1,76.5,146,271
0003,Setifer setosus,2,903,209,0.534,336,26,56.6,41.9,99.2,134
0004,Hemicentetes semispin.,1,438,93.6,0.196,148,12.8,29.8,17.4,63.7,73.4
0005,Echinops telfairi,2,335,71.2,0.249,116,11.5,24.1,13.1,46.4,51.5
0006,Oryzorictes talpoides,1,332,46.9,0.12,88,10,32.5,23.5,64.3,66.5
0007,Microgale cowani,1,248,35.9,0.162,79,6.08,19.4,13.5,36.4,57.2
0008,Limnogale mergulus,1,518,42.9,0.323,87.4,19.5,57.9,36.4,78.2,196
0009,Nesogale dobsoni,1,326,53.6,0.178,93.5,9.58,23.1,16.3,67,62.9
0010,Nesogale talazaci,1,472,74.3,0.369,139,11.2,31.2,20.7,98.9,96.2
0014,Micropotamogale lamottei,3,404,34,0.0605,67.3,15.1,32.6,32.9,77.7,144
0015,Potamogale velox,2,"1,964",86,2.31,194,51.4,134,145,298,"1,054"
0016,Chlorotalpa stuhlmanni,2,457,60.6,0.204,131,11.3,43.5,21.4,59.1,129
0017,Chrysochloris asiatica,1,430,58.5,0.132,115,12.1,44.3,20.9,66.3,113
0021,Aethechinus algirus,3,"1,766",285,1.93,459,42.9,140,109,227,500
0022,Erinaceus europaeus,5,"1,931",332,1.94,505,51.7,147,134,237,522
0023,Hemiechinus auritus,3,"1,073",175,1.35,279,28.4,81.1,68.7,130,309
0031,Elephantulus fuscipes,2,700,63.3,0.662,120,16.8,44.5,46.8,173,236
0033,Rhynchocyon stuhlmanni,2,"3,328",426,0.666,705,81.5,222,220,582,"1,089"
0041,Sorex minutus,1,60.7,8.65,0.0202,17.2,2.02,6.02,3.62,10.5,12.7
0042,Sorex araneus,5,116,15.7,0.0776,32.7,3.2,10.5,6.83,20.6,26.4
0043,Neomys fodiens,2,175,15.8,0.101,36,6.42,18.7,9,32.9,56.6
0059,Crocidura occidentalis,2,241,37.6,0.221,68.4,6.94,16.8,13.3,38.5,59.1
0060,Crocidura russula,2,106,16.3,0.0431,30.2,3.64,8.17,6.05,15.9,25.5
0063,Suncus murinus,,209,34.2,0.182,56.2,5.5,14.8,12.6,31.2,54.1
0081,Talpa europaea,2,554,59.6,0.291,112,15,60.2,39.6,86.8,181
0083,Desmana moschata,1,"2,140",141,0.218,320,42.6,222,163,267,983
0084,Galemys pyrenaicus,2,733,39,0.206,107,20.1,74.4,44.9,109,339
Table V. Prosimians,,,,,,,,,,,
0102,Tupaia glis,20,"1,873",131.5,2.41,269,27.5,140,114,152,"1,036"
0104,Tupaia minor,2,"1,449",94.3,2.28,205,26.1,124,91.9,132,774
0106,Urogale everetti,1,"2,428",184,2.1,362,45.1,199,124,173,"1,338"
0111,Cheirogaleus major,2,"4,314",158,4.04,332,58.9,327,149,347,"2,938"
0112,Cheirogaleus medius,2,"1,941",102,2.66,198,32.5,145,65.3,174,"1,221"
0114,Microcebus murinus,6,"1,129",43,1.62,103,15.3,85.7,40.1,100,740
0117,Lepilemur ruficaudatus,3,"4,708",113,2.72,302,56.7,366,194,392,"3,282"
0118,Lemur fulvus,3,"15,566",207,3.21,641,119,"1,215",422,752,"12,207"
0124,Lemur variegatus,1,"20,461",369,5.27,985,206,"1,591",608,"1,404","15,293"
0130,Avahi l. laniger,2,"6,550",89.2,3.01,284,69.7,524,241,526,"4,813"
0131,Avahi l. occidentalis,2,"6,026",70.1,2.55,265,69.3,478,222,476,"4,443"
0132,Propithecus verreauxi,2,"17,040",147,3.4,664,159,"1,411",443,"1,043","13,170"
0133,Indri indri,2,"25,551",168,2.32,838,205,"1,855",848,"1,520","20,114"
0136,Daubentonia madagasc.,1,"30,196",685,8.31,"1,538",254,"2,765","1,044","1,776","22,127"
0137,Loris tardigradus,1,"4,551",85.8,2.3,256,41.1,351,99.7,191,"3,524"
0138,Nycticebus coucang,2,"8,495",159,4.28,510,92,760,212,566,"6,192"
0139,Perodicticus pollo,2,"9,418",310,2.74,661,114,712,328,607,"6,683"
0141,Galago crassicaudatus,2,"6,545",166,2.52,386,70,556,181,461,"4,723"
0142,Galago demidovii,2,"2,240",83.1,1.26,181,25.7,169,59.9,152,"1,568"
0143,Galago senegalensis,1,"2,997",79.2,2.58,163,35.7,210,107,261,"2,139"
0147,Tarsius sp.,2,"2,258",18.8,0.82,92.7,23.3,133,69,153,"1,768"
Table VI. Simians,,,,,,,,,,,
0151,Callithrix jacchus,4,"5,318",22.8,0.326,191,49.8,372,90,221,"4,371"
0156,Cebuella pygmaea,2,"3,099",12.3,0.386,133,29.2,174,81.8,133,"2,535"
0164,Saguinus oedipus,3,"7,052",19.1,0.406,256,60.5,453,107,262,"5,894"
0165,Saguinus tamarin,2,"7,055",17.3,0.29,243,40.9,471,120,280,"5,883"
0166,Callimico goeldii,1,"7,733",27,0.512,253,63.5,493,138,281,"6,476"
0171,Aotus trivirgatus,5,"12,128",56,0.222,394,83.8,862,243,539,"9,950"
0172,Callicebus moloch,2,"13,465",19.2,0.325,454,86.4,920,234,588,"11,163"
0174,Pithecia monacha,2,"24,920",34.8,0.846,675,140,"1,918",289,834,"21,028"
0179,Alouatta sp.,2,37.388,41.4,0.595,827,200,"2,829",510,"1,320","31,660"
0184,Ateles geojfroyi,1,"79,946",90.4,2.19,"1,625",324,"4,950",732,"1,366","70,856"
0186,Lagothrix lagotricha,3,"74,822",73.4,1.43,"1,395",266,"4,947",680,"1,586","65,873"
0191,Cebus sp.,2,"52,113",39.9,0.667,931,174,3.258,390,890,"46,429"
0192,Saimiri sciureus,1,"17,635",26.8,0.985,413,90.6,"1,042",168,352,"15,541"
0202,Macaca mulatta,1,"71,080",84.3,0,"1,220",271,"4,032",639,"1,353","63,482"
0209,Cercocebus albigena,1,"77,049",121,0,"1,639",294,"4,146",630,"1,485","68,733"
0212,Papio anubis,2,"154,987",287,0,"2,111",559,"7,182","1,309","3,398","140,142"
0227,Cercopithecus mitis,1,"56,277",117,0,"1,265",246,"2,733",617,"1,366","49,933"
0231,Cercopithecus ascan.,1,"51,279",99.5,0,"1,052",251,"2,827",694,"1,189","45,166"
0232,Cercopithecus talap.,2,"30,166",27.8,0,706,133,"1,908",259,705,"26,427"
0234,Erythrocebus patas,2,"84,770",51.8,0,"1,339",330,"3,624",693,"1,591","77,141"
0242,Pygathrix nemaeus,1,"56,189",10.7,0,942,290,3.166,723,"2,295","48,763"
0243,Nasalis larvatus,1,"70,873",30.3,0,"1,268",333,"3,735",855,"1,966","62,685"
0246,Colobus badius,2,"57,885",51.3,0,937,288,"3,217",814,"1,671","50,906"
