"Table X-XI. Volumes of paleocortex, of amygdala and its various components (mm3)",,,,,,,,
,,,,,,,,
Code_number,Species,Number_of_individuals,Palaeocortex,Amygdala,Complexus_centromedialis,Nucleus_tractus_olfactorius,Complexus_corticobasolateralis,"Nucleus_amygdalae_basalis,_pars_magnocellularis"
,,,29,30_(=31+33),31,32,33,34
Table X. Insectivores,,,,,,,,
0002,Tenrec ecaudatus,1,364,88.1,39.9,3.18,48.1,8.9
0003,Setifer setosus,2,269,67.2,30.9,2.71,36.2,7.46
0004,Hemicentetes semispin.,1,125,22.3,10.4,1.3,11.9,2.39
0005,Echinops telfairi,1,93.1,22.1,10.8,0.71,11.3,3.19
0022,Erinaceus europaeus,2,379,104,43.1,3.72,61.1,12.2
0041,Sorex minutus,1,13.9,3.34,1.78,0.174,1.56,0.549
0042,Sorex araneus,2,25.6,7.19,3.29,_,3.9,0.704
0059,Crocidura occidentalis,1,52.7,13.4,6,0.403,7.39,1.38
0060,Crocidura russula,1,23.4,6.82,3.23,0.233,3.59,0.803
0063,Suncus murinus,1,45.1,11.1,5.41,0.44,5.74,0.804
Table XI. Primates,,,,,,,,
0102,Tupaia glis,2,182,76.5,24.2,1.71,52.3,4.27
0111,Cheirogaleus major,2,233,99.4,34.1,0.851,65.3,7.32
0112,Cheirogaleus medius,2,135,63.2,23.3,0.472,39.8,_
0114,Microcebus murinus,6,66.8,36.4,12.1,0.264,24.3,_
0117,Lepilemur ruficaudatus,3,170,133,42.5,0.624,90.4,7.18
0118,Lemur fulvus,3,389,251,71.7,1.37,179,19.6
0132,Propithecus verreauxi,1,292,251,78.7,0.921,172,18.8
0136,Daubentonia madagasc.,1,"1,065",473,122,3.53,351,24.9
0142,Galago demidovii,1,122,50.2,14.9,0.62,35.3,2.82
0147,Tarsius sp.,1,39.1,49.8,11.1,0.0752,38.7,5.35
0151,Callithrix jacchus,3,99.3,113,28.3,0.195,84.6,8.57
0171,Aotus trivirgatus,1,203,201,54.5,0.201,147,15.7
0179,Alouatta sp.,1,488,413,94.9,0,318,30.7
0191,Cebus sp.,1,567,502,118,0,384,41
0192,Saimiri sciureus,1,186,227,45.9,0,181,15
0231,Cercopithecus ascanius,1,450,601,136,0,465,48.9
0246,Colobus badius,2,458,479,114,0,365,45.5
0280,Homo sapiens sapiens,1,"6,016","3,015",592,0,"2,424",246
,,,,,,,,
- = Structure was not measured in the species under consideration.,,,,,,,,
"29: Included are retrobulbar cortex (anterior olfactory nucleus), prepiriform cortex, lateral and medial olfactory tracts, internal olfactory",,,,,,,,
"tract + anterior commissure, olfactory tubercle, substantia innominata and basal nucleus of Meynert.",,,,,,,,
"31: The centromedial amygdaloid complex is composed of the central and the medial amygdaloid nuclei, and of the anterior amygdaloid",,,,,,,,
"area including the nucleus of the lateral olfactory tract. The intercalated cell masses, located at and in part marking the border to the",,,,,,,,
"cortico-basolateral amygdaloid complex, were arbitrarily included with the centromedial complex.",,,,,,,,
"33: The cortico-basolateral amygdaloid complex is composed of the lateral, cortical and basal amygdaloid nuclei, the latter with accessory, t--.)",,,,,,,,
magnocellular and parvocellular parts.,,,,,,,,
