"Species_Name_Source","Preferred_Name","Taxonomic_ID","different","Reference_Note","Source_Species","Species_Name"
"Amblysomus hottentotus","Amblysomus hottentotus","9391","","NCBI exact","HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table5","Amblysomus hottentotus"
"Antidorcas marsupialis","Antidorcas marsupialis","59523","","NCBI exact","DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Antidorcas marsupialis"
"Aotus trivirgatus","Aotus trivirgatus","9505","","NCBI exact","Burish_etal_2010_Table1, DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Aotus trivirgatus"
"Bathyergus suillus","Bathyergus suillus","10172","","NCBI exact","Kverkova_etal_2018_TableS1, Kverkova_etal_2018_TableS5","Bathyergus suillus"
"Blarina brevicauda","Blarina brevicauda","9387","","NCBI exact","HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Blarina brevicauda"
"Callimico goeldii","Callimico goeldii","9495","","NCBI exact","HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table3","Callimico goeldii"
"Callithrix jacchus","Callithrix jacchus","9483","","NCBI exact","Burish_etal_2010_Table1, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Callithrix jacchus"
"Canis familiaris","Canis lupus familiaris","9615","TRUE","NCBI","DosSantos_etal_2020_unpublished, JardimMesseder_etal_2017_Table1","Canis lupus familiaris"
"Cardioderma cor","Cardioderma cor","270764","","NCBI exact","HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2","Cardioderma cor"
"Casinycteris argynnis","Casinycteris argynnis","1091509","","NCBI exact","HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2","Casinycteris argynnis"
"Cavia porcellus","Cavia porcellus","10141","","NCBI exact","HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5","Cavia porcellus"
"Cebus apella","Sapajus apella","9515","TRUE","NCBI","DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table5","Sapajus apella"
"Chaerephon pumilus","Mops pumilus","242384","TRUE","NCBI","HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2","Mops pumilus"
"Coleura afra","Coleura afra","907075","","NCBI exact","HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2","Coleura afra"
