"species_sci"	"Notes (re: gray cells; see next tab)"	"Taxon"	"References"	"N"	"BV"	"Medulla"	"Cerebellum"	"Mesencephalon"	"Diencephalon"	"Telencephalon"	"MOB"	"AOB"	"Piriform Lobe"	"Septum"	"Striatum"	"Striatum (incl. NAcc)"	"Schizocortex"	"Hippocampus"	"Neocortex (GM+WM)"	"Neocortex (GM)"	"Epithalamus"	"Thalamus"	"Hypothalamus"	"Subthalamus"	"Pallidum"	"Subthalamic Nucleus"	"Optic Tract"	"V1 (GM)"	"LGN"	"Paleocortex"	"Amygdala"	"Vmo"	"VII"	"XII"	"Granular Insula"	"Dysgranular Insula"	"Agranular Insula"	"Insula (GM)"
"Alouatta caraya"		"Alouatta_caraya"	"43"	1	53861																														178	282	84	544
"Alouatta palliata"		"Alouatta_palliata"	"54-55"	1	43520														28560	17150								1860	90									
"Alouatta seniculus"		"Alouatta_seniculus"	"34"	1	50542.1835209069																							1918										
"Alouatta seniculus"		"Alouatta_seniculus"	"53"	2	49009.208	1593.25																										4.52	3.46	3.24				
"Alouatta seniculus"		"Alouatta_seniculus"	"61"	1	36500		4300																															
"Alouatta seniculus"		"Alouatta_seniculus"	"61"	1	38300		4000																															
"Alouatta seniculus"	"B"	"Alouatta_seniculus"	"24,51-52"	2	49009		5699	986	3344	37388	41.4	0.595	827	200	2829	2829	510	1320	31660										85.7	488	413							
"Aotus trivirgatus"		"Aotus_trivirgatus"	"34"	2	16588.527302813																							996										
"Aotus trivirgatus"		"Aotus_trivirgatus"	"53"	4	16207.886	675.3																										1.72	2.48	1.74				
"Aotus trivirgatus"		"Aotus_trivirgatus"	"61"	1	15800		1700																															
"Aotus trivirgatus"		"Aotus_trivirgatus"	"61"	1	18900		1700																															
"Aotus trivirgatus"		"Aotus_trivirgatus"	"61"	1	19700		1800																															
"Aotus trivirgatus"		"Aotus_trivirgatus"	"61"	1	22100		1800																															
"Aotus trivirgatus"	"B"	"Aotus_trivirgatus"	"24,51-52"	5	16195		1873	409	1098	12128	56	0.222	394	83.3	862	862	243	539	9950										36	203	201							
"Aotus trivirgatus"		"Aotus_trivirgatus"	"54-55"	1	11420														6970	5230								630										
"Ateles geoffroyi"		"Ateles_geoffroyi"	"34"	1	103939.978939979																							3753										
"Ateles geoffroyi"		"Ateles_geoffroyi"	"43"	1	102700																														200	362	270	832
"Ateles geoffroyi"		"Ateles_geoffroyi"	"53"	1	101033.517	1833.67																										3.6	3.3	3.56				
"Ateles geoffroyi"	"B"	"Ateles_geoffroyi"	"24,51-52"	1	101034		12438	1482	5334	79946	90.4	2.19	1625	324	4950	4950	732	1366	70856		30.5	2930	629	860	807	52.8	204		151									
"Ateles geoffroyi"		"Ateles_geoffroyi"	"54-55"	1	72410														48880	30930								3130	120									
"Ateles paniscus"		"Ateles_paniscus"	"61"	1	71800		8700																															
"Ateles paniscus"		"Ateles_paniscus"	"61"	1	93000		11700																															
"Ateles paniscus"		"Ateles_paniscus"	"61"	1	107300		10700																															
"Avahi laniger"		"Avahi_laniger"	"34"	1	10060.8850608851																							475										
"Avahi laniger"		"Avahi_laniger"	"43"	1	9256.8																														26	36	14	76
"Avahi laniger"		"Avahi_laniger"	"53"	2	9798	553.35																										1.76	2.14	1.48				
"Avahi laniger"	"B"	"Avahi_laniger"	"24,51-52"	2	9798		1489	343	862	6550	89.2	3.01	284	69.7	524	524	241	526	4813										27.4									
"Avahi occidentalis"		"Avahi_occidentalis"	"34"	2	9420.13442013442																							450										
"Avahi occidentalis"		"Avahi_occidentalis"	"53"	2	9124	508.46																										1.64	1.62	1.24				
"Avahi occidentalis"	"B"	"Avahi_occidentalis"	"24,51-52"	2	9124		1383	345	861	6026	70.1	2.55	265	69.3	478	478	222	476	4443		6.52	489	137	80.5	74.5	5.94	38.3		27.2									
"Callicebus moloch"		"Callicebus_moloch"	"34"	1	18388.0308880309																							1201										
"Callicebus moloch"	"B"	"Callicebus_moloch"	"51"	1	14434		1287	469							721	721			8973																			
"Callicebus moloch"		"Callicebus_moloch"	"53"	2	17818.4855	786.82																										2	2.36	1.96				
"Callicebus moloch"		"Callicebus_moloch"	"54-55"	1	11900														7060	5120								840	30									
"Callimico goeldii"		"Callimico_goeldii"	"53"	1	10510.3	460.1																										1.1	0.96	1.08				
"Callimico goeldii"	"B"	"Callimico_goeldii"	"24,51-52"	1	10510		1240	340	739	7733	27	0.512	253	63.5	493	493	138	281	6476																			
"Callithrix jacchus"		"Callithrix_jacchus"	"34"	2	7346.63234663235																							566										
"Callithrix jacchus"		"Callithrix_jacchus"	"53"	4	7247.69675	318.24																										0.94	1.08	0.88				
"Callithrix jacchus"	"B"	"Callithrix_jacchus"	"24,51-52"	4	7241		757	295	554	5318	22.8	0.326	191	49.8	372	372	90	221	4371										25.7	99.3	113							
"Callithrix pygmaea"		"Callithrix_pygmaea"	"34"	1	4354.12120194729																							363										
"Callithrix pygmaea"		"Callithrix_pygmaea"	"43"	1	4005.8																														6	14	2	22
"Callithrix pygmaea"		"Callithrix_pygmaea"	"53"	2	3967.6085	185																										0.56	0.54	0.56				
"Callithrix pygmaea"	"B"	"Callithrix_pygmaea"	"24,51-52"	2	4302		468	192	342	3099	12.3	0.386	133	29.2	174	174	81.8	133	2535		3.68	190	69.2	27.7	25.8	1.95	23.8											
"Cebus albifrons"		"Cebus_albifrons"	"34"	2	68781.4437814438																							3764										
"Cebus albifrons"		"Cebus_albifrons"	"43"	1	77027																														216	310	68	594
"Cebus albifrons"		"Cebus_albifrons"	"53"	2	66939.448	1738.26																										4.32	4.94	3.96				
"Cebus albifrons"	"B"	"Cebus_albifrons"	"24,51-52"	2	66939		7871	1221	3996	52113	39.9	0.667	931	174	3258	3258	390	890	46429		23.7	2163	418	609	567	41.7	207		137	567	502							
"Sapajus apella"		"Cebus_apella"	"61"	1	55200		5100																															
"Sapajus apella"		"Cebus_apella"	"61"	1	60100		5400																															
"Sapajus apella"		"Cebus_apella"	"61"	1	73200		7700																															
"Sapajus apella"		"Cebus_apella"	"61"	1	77300		7600																															
"Sapajus apella"		"Cebus_apella"	"62-63"	4	66500		6500												45000	31900																		
"Cercocebus agilis"		"Cercocebus_agilis"	"43"	1	91988																														316	232	210	758
"Cercocebus torquatus"		"Cercocebus_torquatus_atys"	"61"	1	96200		8100																															
"Cercocebus torquatus"		"Cercocebus_torquatus_atys"	"61"	1	97800		7400																															
"Cercocebus torquatus"		"Cercocebus_torquatus_atys"	"61"	1	97900		10600																															
"Cercocebus torquatus"		"Cercocebus_torquatus_atys"	"61"	1	103500		8500																															
"Cercocebus torquatus"		"Cercocebus_torquatus_atys"	"54-55"	1	117080														88280	47920								5120	200									
"Cercocebus torquatus"		"Cercocebus_torquatus_atys"	"62-63"	4	98900		9200												63900	42700																		
"Cercopithecus ascanius"		"Cercopithecus_ascanius"	"34"	1	64849.6240601504																							4272										
"Cercopithecus ascanius"		"Cercopithecus_ascanius"	"53"	2	60420.6615	1802.09																										4.14	5.28	3.98				
"Cercopithecus ascanius"	"B"	"Cercopithecus_ascanius"	"24,51-52"	1	63505		5828	1162	3605	51279	99.5		1052	251	2827	2827	694	1189	45166		17.9	1916	410	431	405	25.7	320		147	450	601							
"Cercopithecus mitis"		"Cercopithecus_mitis"	"34"	1	72738.554881412																							4232										
"Cercopithecus mitis"		"Cercopithecus_mitis"	"43"	1	69112																														268	782	178	1228
"Cercopithecus mitis"		"Cercopithecus_mitis"	"53"	1	70563.788	1998.9																										4.28	6.14	4.14				
"Cercopithecus mitis"	"B"	"Cercopithecus_mitis"	"24,51-52"	1	70564		6758	1354	4176	56277	117		1265	246	2733	2733	617	1366	49933										150									
"Cercopithecus nictitans"		"Cercopithecus_nictitans"	"54-55"	1	64740														47800	35990								4140	120									
"Cheirogaleus major"		"Cheirogaleus_major"	"34"	2	6577.49586321015																							433										
"Cheirogaleus major"		"Cheirogaleus_major"	"53"	2	6373	381.62																										1.04	1.56	1.84				
"Cheirogaleus major"	"B"	"Cheirogaleus_major"	"24,51-52"	2	6373		947	241	489	4313	158	4.04	332	58.9	327	327	149	347	2938		4.83	271	101	33.8	31.6	2.27	18		21.5	233	99.4							
"Cheirogaleus medius"		"Cheirogaleus_medius"	"34"	2	3021.65519556824																							199										
"Cheirogaleus medius"		"Cheirogaleus_medius"	"53"	2	2961	202.38																										0.6	1.04	1.14				
"Cheirogaleus medius"	"B"	"Cheirogaleus_medius"	"24,51-52"	2	2961		437	145	235	1941	102	2.66	198	32.5	145	145	65.3	174	1221										10.8	135	63.2							
"Cheirogaleus medius"		"Cheirogaleus_medius"	"54-55"	1	2630														1020	890																		
"Colobus angolensis"		"Colobus_angolensis"	"43"	1	71815																														76	304	64	444
"Daubentonia madagascariensis"		"Daubentonia_madagascariensis"	"34"	1	43597.1685971686																							1113										
"Daubentonia madagascariensis"		"Daubentonia_madagascariensis"	"53"	1	42611	1517.1																										3.82	4	4.38				
"Daubentonia madagascariensis"	"B"	"Daubentonia_madagascariensis"	"24,51-52"	1	42611		6461	897	3539	30196	685	8.31	1538	254	2765	2765	1044	1776	22127										58.5	1065	473							
"Daubentonia madagascariensis"		"Daubentonia_madagascariensis"	"54-55"	1	41070														24070	19790																		
"Erythrocebus patas"		"Erythrocebus_patas"	"53"	2	103167.3685	2615.67																										4.66	9.18	4.8				
"Erythrocebus patas"		"Erythrocebus_patas"	"61"	1	89000		7900																															
